Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,-9999
75,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,28-013,1994,14,12,1095,12.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.00,0.04,0.05,0.00,0.05,1a4ef233
76,Amath,sn SEN,MFFW,Mallorca,es La Liga,26-171,1996,8,1,265,2.9,1,0,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,0.8,0.8,0.8,1.5,0.26,0.26,0.52,0.26,0.52,f3b1d9a2
77,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28-300,1994,4,1,193,2.1,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,22721b88
78,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24-329,1998,8,4,419,4.7,0,1,0,0,0,3,0,0.00,0.21,0.21,0.00,0.21,0.3,0.3,0.9,1.1,0.06,0.18,0.24,0.06,0.24,bcc81786
79,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21-000,2002,1,1,58,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2df7cc43
80,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,21-000,2002,5,5,388,4.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,2df7cc43
81,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,26-068,1996,11,3,422,4.7,1,1,1,0,0,3,0,0.21,0.21,0.43,0.21,0.43,0.4,0.4,0.5,0.8,0.08,0.10,0.18,0.08,0.18,555d5edd
82,Ethan Ampadu,wls WAL,DFMF,Spezia,it Serie A,22-111,2000,10,10,833,9.3,0,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.9,0.9,0.5,1.4,0.09,0.05,0.15,0.09,0.15,10b9fa99
83,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,26-135,1996,13,10,815,9.1,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.02,0.04,0.06,0.02,0.06,5a2cb25d
84,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26-217,1996,15,15,1350,15.0,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,1.0,1.0,0.4,1.4,0.07,0.02,0.09,0.07,0.09,e34fc66d
