Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,-9999
243,Marco Benassi,it ITA,MF,Fiorentina,it Serie A,23,1994,25.4,67,2.64,55,0,2,7,0,3,5,0.20,4,0,0,1,0,0,0000acda
244,Medhi Benatia,ma MAR,DF,Juventus,it Serie A,31,1987,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3b15ef2d
245,Lars Bender,de GER,MFDF,Leverkusen,de Bundesliga,29,1989,15.1,30,1.99,23,4,0,2,1,0,5,0.33,5,0,0,0,0,0,c50281a0
246,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,29,1989,22.1,14,0.63,11,0,0,3,0,0,0,0.00,0,0,0,0,0,0,070ec0b1
247,László Bénes,sk SVK,MFFW,M'Gladbach,de Bundesliga,20,1997,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,fe888e39
248,Nicolas Benezet,fr FRA,MFFW,Guingamp,fr Ligue 1,27,1991,18.5,82,4.43,47,18,3,6,6,2,4,0.22,1,2,0,1,0,0,30395d3b
249,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,25,1993,35.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,8a2248b4
250,Ismaël Bennacer,dz ALG,MF,Empoli,it Serie A,20,1997,32.9,74,2.25,54,15,2,0,3,0,11,0.33,8,2,1,0,0,0,db092d3b
251,Joe Bennett,eng ENG,DF,Cardiff City,eng Premier League,28,1990,29.3,33,1.13,28,1,0,1,3,0,2,0.07,1,0,0,0,1,0,dc936144
252,Ryan Bennett,eng ENG,DF,Wolves,eng Premier League,28,1990,34.0,26,0.76,19,4,0,2,0,1,0,0.00,0,0,0,0,0,0,0bad4516
253,Yassine Benrahou,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,1999,2.0,5,2.54,3,1,0,0,1,0,0,0.00,0,0,0,0,0,0,fbf76716
254,Ramy Bensebaini,dz ALG,DF,Rennes,fr Ligue 1,23,1995,23.9,35,1.46,24,2,1,0,7,1,2,0.08,2,0,0,0,0,0,378825c7
255,Nabil Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,23,1994,19.9,45,2.26,26,9,0,3,5,2,2,0.10,1,0,0,1,0,0,3189f61a
256,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,21,1997,22.3,54,2.43,49,0,1,2,0,2,9,0.40,9,0,0,0,0,0,3b8674e6
257,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,27,1990,9.0,16,1.77,13,0,1,1,1,0,2,0.22,1,0,0,0,1,0,ab070c55
